,bin_number,start(s),end(s),duration(ms),interval(s),min_freq,max_freq,avg_freq,bandwidth,min_intensity,max_intensity,avg_intensity,bg_intensity,area(pixels),centroid_y,class_top1,class_top2
1,1,15.038748,15.044892,6.144215,0.000000,82073.060015,96219.359232,88847.967955,14146.299216,-101.385368,-65.566145,-78.237372,-88.782609,291.000000,181,up_fm,short
2,1,15.335718,15.338790,3.072107,0.290826,91585.226730,93536.440415,92565.350271,1951.213685,-101.354619,-64.170808,-80.709234,-88.413698,54.000000,195,short,up_fm
3,1,15.462186,15.464747,2.560089,0.123396,90609.619887,96707.162653,93632.522907,6097.542766,-103.327951,-61.445531,-79.858891,-88.769361,132.000000,199,short,up_fm
