,bin_number,start(s),end(s),duration(ms),interval(s),min_freq,max_freq,avg_freq,bandwidth,min_intensity,max_intensity,avg_intensity,bg_intensity,area(pixels),centroid_x,centroid_y
19,8.0,451.66000886003695,451.6692250023428,9.216142305824622,0.15001831642257457,88658.53658536586,101829.26829268293,95375.0,13170.73170731707,-107.07152037035043,-60.19275244986568,-77.56440010219642,-88.83325649796629,320.0,206.0,206.0
20,8.0,451.8330675322241,451.85149981683577,18.432284611649244,0.16384252988132175,79634.1463414634,90365.8536585366,84130.74602444138,10731.70731707319,-105.07538205905686,-60.41995567444368,-74.83624484764475,-88.7503275696601,477.0,206.0,164.0
21,8.0,452.0184143941524,452.049646876411,0.03123248225858788,0.16691457731661785,73048.78048780488,86219.51219512196,81691.51965212463,13170.731707317085,-113.8861131715521,-71.83725141073552,-77.07503865415,-88.74871965912018,750.0,206.0,142.0
22,8.0,452.21604944582174,452.22782562765696,11.77618183522035,0.1664025694107636,88658.53658536586,93048.78048780488,91025.6968641115,4390.243902439019,-101.39569342106364,-63.15550533876699,-75.32959387990834,-88.68655465318977,224.0,206.0,188.0
23,8.0,452.2467699201745,452.27390633918606,0.027136419011583257,0.01894429251751717,76463.41463414635,88658.53658536586,83820.70825515946,12195.12195121951,-107.73763271325252,-63.770560922213484,-73.34479074604695,-88.68379028160395,729.0,206.0,154.0
24,8.0,452.4408209165027,452.4500370588085,9.216142305824622,0.16691457731661785,79390.24390243902,83536.58536585365,81420.31909040894,4146.341463414632,-99.55922649432046,-69.05779117211392,-78.64331306882286,-88.80010902919736,133.0,206.0,149.0
25,8.0,452.4904856833729,452.49714178614937,6.656102776428894,0.04044862456441933,75731.70731707317,81585.36585365853,78952.04630012403,5853.658536585353,-103.84991956101585,-58.04058242171203,-75.01457711607195,-88.79474751777957,177.0,206.0,138.0
26,8.0,453.0158057948049,453.02399792129904,8.192126494066331,0.5186640086555485,75243.90243902439,79634.1463414634,77424.39024390244,4390.243902439019,-94.72057270197176,-68.35149242830968,-76.46743811427164,-88.73734478731406,150.0,206.0,133.0
27,8.0,454.49602065070155,454.51650096693675,0.02048031623519364,1.4720227294025108,72560.9756097561,90365.8536585366,83700.87886024335,17804.87804878049,-103.67093654474148,-63.457122262913444,-75.85532215095157,-88.80059822517946,502.0,206.0,149.0
28,8.0,454.8124415365349,454.8749065010521,0.0624649645172326,0.2959405695981445,46951.21951219512,94756.09756097561,79945.64444636606,47804.87804878049,-124.48155905047653,-73.01997898858461,-74.92160161333447,-88.60691894463159,1543.0,206.0,106.0
29,8.0,455.0254368253806,455.04335710208636,17.920276705770096,0.15053032432848568,86707.31707317074,91341.46341463414,88961.22825770092,4634.146341463405,-100.305313606908,-46.301179786305084,-64.22772485537381,-88.6704683945668,502.0,206.0,180.0
30,8.0,455.18927935526193,455.2215358533323,0.032256498070353246,0.14592225317556995,83780.48780487805,93780.48780487805,88046.98001921539,10000.0,-112.94579812183369,-69.4995098631754,-75.45066434653654,-88.70617913545118,716.0,206.0,179.0
31,8.0,458.17172540700795,458.17838150978434,6.656102776428894,2.9501895536756706,72560.9756097561,80609.75609756098,76684.22571799683,8048.780487804877,-103.2774415110997,-68.83670205737398,-79.9619063328884,-88.75212827812165,169.0,206.0,129.0
32,8.0,459.77021408916266,459.7758461761273,5.632086964670602,1.5918325793783197,77439.0243902439,80365.8536585366,78886.63053297199,2926.8292682926985,-96.42563886668884,-63.83159583047417,-75.81302951275578,-88.76887541858405,108.0,206.0,139.0
33,8.0,459.8009345635154,459.80400661095064,3.072047435274874,0.025088387388109368,72804.87804878049,75487.80487804877,74153.51506456241,2682.9268292682827,-93.32573129256203,-68.02299326629043,-79.67191163234308,-88.78669609283122,68.0,206.0,119.0
34,8.0,460.38206353668824,460.45272062769953,0.07065709101129869,0.5780569257375987,71829.26829268293,92073.17073170732,83175.40407959788,20243.902439024387,-105.0291009243255,-69.86262038750557,-74.1948675649423,-88.652259232707,1307.0,206.0,151.0
35,8.0,460.5914747701928,460.6206592208279,29.1844506351113,0.13875414249326923,84024.39024390244,92317.07317073172,89259.3179178545,8292.682926829279,-102.06902662494592,-56.198480426872166,-69.38213537771169,-88.72282970465861,693.0,206.0,177.0
36,8.0,460.79627793254446,460.8095901380973,13.312205552857789,0.1756187117165382,79878.0487804878,91585.36585365853,86113.11180225897,11707.317073170721,-113.90194565524091,-53.362578318382006,-71.13287101868181,-88.80198249226007,447.0,206.0,167.0
37,8.0,460.96063247033163,460.98725688143736,0.026624411105728996,0.15104233223433994,77682.9268292683,92804.87804878049,83898.00191034697,15121.951219512193,-107.03280576169018,-56.9702339648686,-74.5027321856416,-88.85592030122592,665.0,206.0,165.0
38,8.0,461.1690196880245,461.20178819400076,0.03276850597626435,0.1817628065871304,45000.0,99146.34146341463,79542.40848003989,54146.34146341463,-110.91286470761693,-70.17522960743173,-71.48724579760308,-88.68125344885098,1125.0,206.0,111.0
39,8.0,461.34617442345865,461.37843092152906,0.03225649807041009,0.14438622945789348,46463.41463414634,97195.12195121951,70026.6585622483,50731.70731707317,-105.30263387874166,-60.38143465555898,-71.35753208217076,-88.72087704452267,900.0,206.0,110.0
40,8.0,461.52588919842225,461.5842580996925,0.05836890127022798,0.14745827689318958,70609.75609756098,92804.87804878049,85589.68923620143,22195.12195121951,-110.44101595807312,-68.90441907197336,-72.72271086087795,-88.62843739126754,1504.0,206.0,150.0
41,8.0,461.7276203133386,461.7568047639737,29.1844506351113,0.1433622136461281,83292.68292682926,95487.80487804877,89445.44287548139,12195.12195121951,-107.46178605809038,-53.310414564146114,-68.74675971454488,-88.68181476434142,760.0,206.0,182.0
42,8.0,461.89197485112584,461.9201352859492,28.16043482335301,0.13517008715211887,77682.9268292683,92804.87804878049,86518.83192301312,15121.951219512193,-108.23879624071603,-55.45907499168485,-71.92820919138288,-88.76050328292109,735.0,206.0,165.0
43,8.0,462.1182823455244,462.1607790017124,42.496656187969094,0.19814705957520573,71097.56097560975,95487.80487804877,81466.25070901873,24390.24390243902,-108.24456469588254,-47.480833423017714,-68.70756517993854,-88.60224743671101,1290.0,206.0,157.0
44,8.0,462.29185302561746,462.3676301956875,75.77717007011356,0.1310740239050574,65487.80487804878,92560.9756097561,76960.99026588663,27073.170731707323,-110.66034339958904,-49.974939882195514,-68.09696192935827,-88.40980000707208,1997.0,206.0,139.0
45,8.0,462.4966561879691,462.5355687888159,38.91260084681507,0.1290259922815835,79146.34146341463,92804.87804878049,86412.73051754908,13658.536585365859,-104.24097946386085,-50.95010373905801,-65.41231975898563,-88.68274347298822,1025.0,206.0,168.0
46,8.0,462.7122115163442,462.7480520697558,0.03584055341156045,0.17664272752830357,84024.39024390244,94756.09756097561,89283.1316487972,10731.707317073175,-106.05219309255904,-60.67809882674212,-73.28833638387667,-88.49277851407575,686.0,206.0,182.0
47,8.0,462.7593162436851,462.793620773379,0.03430452969394082,0.011264173929305343,47682.92682926829,103048.78048780488,65337.89224099654,55365.85365853659,-115.86477216835536,-68.98751833688044,-76.683507448407,-88.43791609901454,1565.0,206.0,124.0
48,8.0,462.93698298702515,462.9625833823191,25.600395293957284,0.1433622136461281,91829.26829268293,101341.46341463414,95637.3599208965,9512.195121951212,-102.78582915889476,-55.437432491343,-70.81542176742046,-88.78733382622944,592.0,206.0,211.0
49,8.0,466.7360816486484,466.7637300755659,0.027648426917494362,3.773498266329284,70853.65853658537,93292.68292682926,85640.99555529741,22439.024390243896,-102.75378904350801,-64.71625947527596,-76.1466172759518,-88.69686776579707,690.0,206.0,152.0
50,8.0,466.77909031274226,466.7826743680834,3.5840553411540195,0.015360237176366809,66219.51219512195,69878.0487804878,68115.65696302125,3658.5365853658586,-104.36010183931825,-64.32913687933114,-78.99357740093299,-88.70131300412622,93.0,206.0,94.0
51,8.0,466.91938047895314,466.9547090244588,35.32854550566105,0.1367061108697385,78902.43902439025,100121.9512195122,87365.41908848932,21219.512195121948,-109.56578358844678,-57.4469855321934,-74.12124071763421,-88.71096837831003,898.0,206.0,182.0
52,8.0,467.2793220367862,467.28546613165673,6.144094870549748,0.32461301232740425,73292.68292682926,78902.43902439025,75884.14634146342,5609.756097560981,-101.42185360202649,-61.79785519421373,-76.03133996011829,-88.87383159047755,160.0,206.0,127.0
53,8.0,467.44214055085575,467.4631328749968,20.99232414104497,0.15667441919902103,80609.75609756098,89634.1463414634,84981.97765228883,9024.390243902424,-112.15298624154184,-55.59104549407558,-73.02569600292995,-88.72695135592251,609.0,206.0,164.0
54,8.0,467.60188701749007,467.6413116262427,39.42460875269421,0.13875414249326923,88414.63414634147,96219.51219512196,92068.21691872833,7804.878048780491,-112.00733495071836,-57.48598075643991,-74.37560508578149,-88.72223858394618,837.0,206.0,194.0
55,8.0,467.7944019901006,467.8000340770653,0.005632086964681093,0.15309036385787067,74512.19512195123,90853.65853658537,84108.96354246562,16341.463414634141,-106.3252516783827,-66.16126421158454,-78.90061568412496,-88.85711765800156,302.0,206.0,154.0
56,8.0,468.5403975089665,468.5455175880253,5.120079058791457,0.740363431901244,88902.43902439025,96463.41463414635,92842.2863983241,7560.975609756104,-97.95646102513933,-66.86688444097716,-79.66272573968534,-88.73912951399366,163.0,206.0,195.0
57,8.0,468.7062880704714,468.7134561811537,7.168110682308039,0.1607704824460825,75000.0,90609.75609756098,83526.88470066519,15609.756097560981,-108.42731244825043,-60.57141805248417,-78.2155207751267,-88.73190240243393,352.0,206.0,155.0
58,8.0,468.8429941813411,468.8747386715056,31.744490164507035,0.12953800018743777,88902.43902439025,94512.19512195123,92110.2863202545,5609.756097560981,-108.12939582642647,-55.03773187096374,-70.74758658178486,-88.61038249914215,690.0,206.0,191.0
59,8.0,469.0165648614341,469.0370451776693,20.480316235165827,0.14182618992850848,89390.24390243902,105487.80487804877,96937.19317384867,16097.560975609755,-103.45060574050846,-56.71480115543068,-73.02581686790523,-88.73740931697829,626.0,206.0,215.0
60,8.0,469.1727272727273,469.2044717628918,31.744490164507035,0.13568209505797313,88414.63414634147,95731.70731707317,91629.81951812227,7317.073170731703,-102.05979879814181,-50.33261758580477,-66.77812701958803,-88.70876057623774,823.0,206.0,193.0
61,8.0,469.33708181051446,469.35244204769083,15.360237176374369,0.13261004762267703,81829.26829268293,95731.70731707317,89848.45592095843,13902.439024390245,-107.11044338738117,-49.29213656417065,-70.61850417012408,-88.79175278308196,511.0,206.0,179.0
62,8.0,469.5029723720193,469.50655642736047,3.5840553411540195,0.15053032432848568,72073.17073170732,74512.19512195123,73234.14634146342,2439.0243902439106,-102.93014517308391,-66.26082375502075,-78.93100097395522,-88.85879183395974,75.0,206.0,116.0
63,8.0,469.66169482284187,469.66579088608887,4.0960632470331655,0.1551383954814014,73048.78048780488,75975.60975609756,74529.82662356744,2926.829268292684,-97.1682619127641,-65.39397995965962,-77.84636117073178,-88.85470725253771,83.0,206.0,121.0
64,8.0,469.81171313926444,469.8316814475937,0.019968308329282536,0.14592225317556995,54512.19512195122,103292.68292682926,87651.17511737722,48780.487804878045,-99.62952653974693,-72.65914251999587,-75.64228063186432,-88.82979580611821,333.0,206.0,139.0
65,8.0,469.9919399221339,470.0078121672162,15.872245082253517,0.1602584745401714,84756.09756097561,96951.21951219512,91237.5790424571,12195.12195121951,-97.61771597177444,-53.650928124801226,-69.46838110599266,-88.76935993811927,486.0,206.0,188.0
66,8.0,471.31445634301974,471.3221364616079,7.6801185881871845,1.3066441758035694,68658.53658536586,74024.39024390244,71442.42768009075,5365.85365853658,-114.54240317487367,-51.727874371288245,-71.82970180215507,-88.83070985124202,215.0,206.0,108.0
67,8.0,471.4598665882894,471.4772748570893,0.01740826879989754,0.13773012668150386,78658.53658536586,89878.0487804878,84033.29064209832,11219.512195121948,-100.59914728633203,-70.47318328445894,-74.37656043294274,-88.80955455241921,416.0,206.0,161.0
68,8.0,471.7087024305467,471.72406266772305,15.360237176374369,0.23142757345738119,69146.34146341463,74024.39024390244,72051.99592188848,4878.048780487807,-103.42747012689404,-60.62396656175312,-73.50079927895052,-88.90522374559623,311.0,206.0,109.0
69,8.0,471.8873931896985,471.8996813794396,12.288189741099496,0.1633305219754675,87439.0243902439,94512.19512195123,91396.85517734298,7073.170731707331,-108.66799966572104,-61.19744025977802,-74.09161216152428,-88.72150391527049,273.0,206.0,188.0
70,8.0,471.9201616956748,471.93500992494523,14.848229270495224,0.02048031623519364,68902.43902439025,78170.73170731707,72880.387570999,9268.292682926825,-112.43347385406693,-60.689735112193176,-73.53530542235337,-88.67507721936634,365.0,206.0,117.0
71,8.0,472.0696680041915,472.07786013068556,8.192126494066331,0.1346580792462646,85243.90243902439,90609.75609756098,88078.17944250871,5365.853658536595,-118.2657337744075,-61.21754740453472,-76.38169708533506,-88.77934407889073,224.0,206.0,176.0
72,8.0,472.09885245482656,472.1039725338854,5.120079058791457,0.02099232414099106,73536.58536585365,82560.9756097561,77942.15298173924,9024.390243902453,-117.22403984880977,-66.78961178044894,-80.56592554181736,-88.78332471691587,191.0,206.0,135.0
73,8.0,472.2529668344962,472.29648750649596,0.043520671999772276,0.1489943006108092,67926.82926829268,90121.9512195122,75556.11361664269,22195.12195121951,-109.82481838801903,-70.09945533952713,-78.35132469957733,-88.72014471041302,770.0,206.0,139.0
74,8.0,472.4152733406599,472.4562339731302,0.04096063247033044,0.11878583416392985,82317.07317073172,95975.60975609756,88144.53819892605,13658.536585365844,-115.67171549535072,-67.08061414032194,-76.33309254430912,-88.73467169794134,913.0,206.0,181.0
75,8.0,472.58833201284705,472.6170044555763,0.02867244272925973,0.13209803971682277,82317.07317073172,96707.31707317074,90263.11437273049,14390.243902439019,-123.52185626260393,-59.30022152734277,-75.47132020984961,-88.69130734166515,789.0,206.0,182.0
76,8.0,472.76241470084597,472.783407024987,20.99232414104497,0.14541024526965884,84268.29268292684,91341.46341463414,88223.2766057564,7073.1707317073015,-115.66711759355739,-68.98387162656705,-77.96738818356515,-88.78636291815826,311.0,206.0,175.0
77,8.0,472.79927927006923,472.80439934912806,5.120079058791457,0.01587224508222107,80365.8536585366,88658.53658536586,84733.11199080577,8292.682926829264,-104.22912833909491,-65.90802803797396,-79.05266866275514,-88.82800060610687,191.0,206.0,162.0
78,8.0,472.9580017208918,472.9651698315741,0.007168110682300721,0.15360237176372493,87439.0243902439,103536.58536585365,97091.09520443031,16097.560975609755,-109.7630081117374,-65.34048535211511,-78.65703651750422,-88.8978980014007,287.0,206.0,207.0
79,8.0,473.13566846423186,473.14027653538477,0.004608071152915727,0.1704986326577682,78414.63414634147,87195.12195121951,83135.09661070637,8780.487804878037,-104.61572791190477,-66.42541592478482,-79.37036559290897,-88.8022107035425,153.0,206.0,155.0
80,8.0,476.0459214012489,476.0546255356489,8.704134399945477,2.905644865864133,78414.63414634147,81341.46341463414,80066.324347454,2926.8292682926694,-99.70195786567587,-70.37677849233437,-78.96746021895906,-88.73643117093496,114.0,206.0,143.0
81,8.0,476.0766418756017,476.1012182550839,24.57637948219899,0.02201633995281327,72073.17073170732,80853.65853658537,77133.46122225266,8780.487804878052,-103.40368164972054,-56.77977909155723,-72.26917680420352,-88.72945408043216,534.0,206.0,129.0
82,8.0,476.1298906978131,476.13347475315425,3.5840553411540195,0.028672442729202885,69146.34146341463,70853.65853658537,69909.09090909091,1707.317073170736,-96.27341461436343,-70.8796417910693,-80.11875336321108,-88.74310531909276,55.0,206.0,102.0
83,8.0,476.27683696680043,476.3259897257648,0.049152758964396526,0.14336221364618495,67439.0243902439,90853.65853658537,83300.42030692904,23414.634146341472,-103.82179486318572,-75.04622680683079,-77.61737492551075,-88.75295447389539,959.0,206.0,140.0
84,8.0,476.87947027202017,476.8840783431731,4.608071152912311,0.5534805462553436,89390.24390243902,95975.60975609756,92703.25203252034,6585.365853658543,-100.49592343570508,-62.897286949769516,-78.42269965104005,-88.87315264865556,156.0,206.0,195.0
85,8.0,479.8055954541195,479.80866750155474,3.072047435274874,2.921517110946411,80365.8536585366,82073.17073170732,81165.0233523612,1707.3170731707214,-90.28368193961606,-69.42871698064299,-78.99843333718061,-88.75673326324413,47.0,206.0,148.0
86,9.0,527.4907813019142,527.5445421320316,53.7608301173103,47.6821138003595,77682.9268292683,94024.39024390244,84464.19512195123,16341.463414634141,-123.78113972897077,-57.1902962037995,-71.54710750961385,-88.64980502038419,1250.0,206.0,167.0
87,9.0,534.7356931701042,534.7505413993747,14.848229270495224,7.1911510380726895,78414.63414634147,82804.87804878049,80672.82121419345,4390.243902439019,-119.69743999244051,-62.40582175401977,-73.14689513262411,-88.92210296338446,321.0,206.0,146.0
88,10.0,594.325574837495,594.338375035142,12.800197646978642,59.57503343812027,55487.80487804878,60121.95121951219,57897.9894528675,4634.146341463413,-112.68521376064298,-60.26356006434371,-74.37173641094847,-88.79392969947932,296.0,206.0,52.0
