,bin_number,start(s),end(s),duration(ms),interval(s),min_freq,max_freq,avg_freq,bandwidth,min_intensity,max_intensity,avg_intensity,bg_intensity,area(pixels),centroid_x,centroid_y
1,1.0,18.257604054808642,18.26374812078519,0.006144065976549484,0.0,82073.17073170732,96219.51219512196,88848.09890424249,14146.341463414647,-101.38536830596192,-65.56614473759088,-78.23737243467676,-88.8074816912328,291.0,206.0,181.0
2,1.0,18.68103260169237,18.683592629182595,2.5600274902280833,0.4172844809071776,90609.75609756098,96707.31707317074,93632.66814486327,6097.560975609755,-103.32795118286694,-61.44553070090099,-79.85889139087708,-88.79844225518333,132.0,206.0,199.0
3,4.0,209.71489082560208,209.7538034264489,0.03891260084682813,191.0312981964195,55000.0,97682.92682926828,70430.98519746907,42682.92682926828,-109.71243955472971,-75.23253590447804,-77.56923001148513,-88.6125752357647,1368.0,206.0,128.0
4,4.0,210.05486407510585,210.06254419369404,7.6801185881871845,0.30106064865694293,55975.60975609756,60121.95121951219,57870.81339712918,4146.341463414632,-106.40503631666812,-56.651509788802244,-72.14107529447715,-88.77334490437053,209.0,206.0,53.0
5,4.0,211.96516557194093,211.99486203048193,0.029696458540996673,1.9026213782468915,45000.0,98414.63414634147,81628.08112279345,53414.63414634147,-115.22313611048331,-57.79252410222406,-70.99286557159806,-88.59510303407835,1231.0,206.0,109.0
6,5.0,246.09443010367946,246.1036462459853,0.009216142305831454,34.09956807319753,82073.17073170732,87682.92682926828,84561.10962208523,5609.756097560967,-97.41229036404634,-71.58045475184602,-79.17276496609325,-88.870724514712,143.0,206.0,163.0
7,5.0,290.09894957446267,290.1076537088626,8.704134399945477,43.99530332847738,88170.73170731707,95243.90243902439,91558.26558265582,7073.170731707316,-104.22143673611177,-45.38375797150363,-69.67490010119147,-88.66382420368686,351.0,206.0,191.0
8,5.0,290.376969867355,290.38618600966083,9.216142305824622,0.2693161584924155,85243.90243902439,93048.78048780488,90036.25576796308,7804.878048780491,-118.16897647302693,-65.1343574947207,-78.85361717124458,-88.80872603885648,259.0,206.0,181.0
9,6.0,336.60549322292366,336.6157333810412,10.240158117582913,46.21930721326282,89878.0487804878,94756.09756097561,92594.19189522635,4878.048780487807,-100.46833222804308,-55.81021810989831,-70.79678613182016,-88.8721166067548,257.0,206.0,194.0
10,6.0,351.84028846235765,351.84745657303995,7.168110682308039,15.224555081316453,80121.9512195122,82317.07317073172,81208.42572062084,2195.121951219524,-91.98127257420587,-69.00508297923709,-77.68346092179068,-88.80469456802945,99.0,206.0,148.0
11,6.0,351.8802250790162,351.90326543478074,23.040355764561554,0.03276850597626435,77926.82926829268,80365.8536585366,79139.50946232151,2439.0243902439106,-96.71607456743166,-63.9202731371896,-75.50636384210848,-88.82141668759884,357.0,206.0,140.0
12,7.0,401.83206992613793,401.8458941395967,13.824213458736931,49.9288044913572,79634.1463414634,90121.9512195122,85423.6991035208,10487.804878048788,-105.87961448718389,-52.72608534694918,-71.61768309816618,-88.77446062143518,487.0,206.0,163.0
13,8.0,450.50491902437363,450.51208713505594,7.168110682308039,48.659024884776954,79878.0487804878,93048.78048780488,86672.68440056001,13170.73170731707,-105.24076556955552,-56.74891857317555,-77.84882001600594,-88.77389762939166,331.0,206.0,170.0
14,8.0,450.78857140423065,450.7982995544424,0.009728150211742559,0.27648426917471625,50853.65853658537,96951.21951219512,72020.95036948017,46097.560975609755,-116.7499551522221,-65.65624873910375,-76.54405560792904,-88.71304192767853,720.0,206.0,118.0
15,8.0,450.9795503531236,450.98979051124115,10.240158117582913,0.1812507986812193,75487.80487804877,84268.29268292684,80643.67630431271,8780.487804878067,-109.17463572951652,-60.28057184326536,-77.44585403344848,-88.8125640921249,302.0,206.0,143.0
16,8.0,451.1439048909108,451.1587531201813,14.848229270495224,0.15411437966963604,83292.68292682926,92804.87804878049,88844.14366121683,9512.195121951227,-107.64961347492613,-56.7887342171923,-74.01576357561824,-88.7703388161185,364.0,206.0,176.0
17,8.0,451.31849958681556,451.33641986352137,17.920276705770096,0.1597464666342603,75000.0,83048.78048780488,78342.44463134286,8048.780487804877,-103.88147870688435,-67.26691862889454,-77.19350370647643,-88.82701169310397,348.0,206.0,139.0
18,8.0,451.50231042502617,451.5099905436144,7.6801185881871845,0.16589056150479564,77926.82926829268,92317.07317073172,85573.68601855033,14390.243902439033,-102.27789092086354,-57.0371363103089,-76.57220698712247,-88.79601547576536,355.0,206.0,164.0
